docket,violation_address,city,state,cleaned_address,corrected
22DT000583,7503 S EXCHANGE,Chicago,Illinois,7503 S EXCHANGE,
22DT000582,2649 E 75TH ST,Chicago,Illinois,2649 E 75TH ST,
22DT000962,5762 N MILWAUKEE,Chicago,Illinois,5762 N MILWAUKEE,
22DT000621,1945 N SEDWICK ST,Chicago,Illinois,1945 N SEDGWICK ST,True
22DT001359,17 E SCOTT ST,Chicago,Illinois,17 E SCOTT ST,
23DT000452,3058 N LINCOLN,Chicago,Illinois,3058 N LINCOLN,
22DT001003,2935 S LYMAN,Chicago,Illinois,2935 S LYMAN,
21DT001132,2449 W LAWRENCE,Chicago,Illinois,2449 W LAWRENCE,
21DT001067,2354 W WASHINGTON,Chicago,Illinois,2354 W WASHINGTON,
22DS03843M,4949 S SEELEY AVE,Chicago,Illinois,4949 S SEELEY AVE,
19DS72216L,1217 W ARTHUR AVE,Chicago,Illinois,1217 W ARTHUR AVE,
21DT000691,3258 N KEDZIE,Chicago,Illinois,3258 N KEDZIE,
21DT000692,3248 N KEDZIE,Chicago,Illinois,3248 N KEDZIE,
22DT001360,949 N HOYNE,Chicago,Illinois,949 N HOYNE,
22DT000712,2059 W AUGUSTA,Chicago,Illinois,2059 W AUGUSTA,
22DS03835M,3240 N KARLOV AVE,Chicago,Illinois,3240 N KARLOV AVE,
22DS03381M,2000 S ASHLAND AVE,Chicago,Illinois,2000 S ASHLAND AVE,
22DS04072M,2819 N BURLING ST,Chicago,Illinois,2819 N BURLING ST,
20DT000786,6601 S GREEN ST,Chicago,Illinois,6601 S GREEN ST,
22DT000768,1959 W GRAND,Chicago,Illinois,1959 W GRAND AVE,True
22DT000626,2658 N WILTON,Chicago,Illinois,2658 N WILTON,
21DT000693,2731 N CICERO,Chicago,Illinois,2731 N CICERO,
20DS75787L,5421 S ASHLAND AVE,Chicago,Illinois,5421 S ASHLAND AVE,
20DT000571,701 S LASALLE ST,Chicago,Illinois,701 S LASALLE ST,
22DS02285M,7101 S VINCENNES AVE,Chicago,Illinois,7101 S VINCENNES AVE,
22DT000822,1801 N WINNEBAGO,Chicago,Illinois,1801 N WINNEBAGO,
22DT001136,5301 S ARCHER,Chicago,Illinois,5301 S ARCHER,
21DS19295M,8307 S DR MARTIN LUTHER KING JR DR,Chicago,Illinois,8307 S DR MARTIN LUTHER KING JR DR,
22DT000994,3943 W 70TH PL,Chicago,Illinois,3943 W 70TH PL,
22DT001523,4385 S ARCHER,Chicago,Illinois,4385 S ARCHER,
20DS75602L,1614 W 47TH ST,Chicago,Illinois,1614 W 47TH ST,
21DS20694M,1614 W 47TH ST,Chicago,Illinois,1614 W 47TH ST,
21DT00031A,347 E 95TH ST,Chicago,Illinois,347 E 95TH ST,
21DT001306,7045 S PULASKI RD,Chicago,Illinois,7045 S PULASKI RD,
21DT000845,4761 W BELMONT,Chicago,Illinois,4761 W BELMONT,
21DT001207,537 E 46TH ST,Chicago,Illinois,537 E 46TH ST,
22DT001381,343 W 26TH ST,Chicago,Illinois,343 W 26TH ST,
22DT001116,535 W 32ND ST,Chicago,Illinois,535 W 32ND ST,
21DT001347,1115 N HERMITAGE,Chicago,Illinois,1115 N HERMITAGE,
21DT000686,4758 W WELLINGTON,Chicago,Illinois,4758 W WELLINGTON,
22DT000622,135 N DES PLAINES ST,Chicago,Illinois,135 N DESPLAINES ST,True
22DT000680,627 W RANDOLPH ST,Chicago,Illinois,627 W RANDOLPH ST,
22DT001206,3150 N HARLEM,Chicago,Illinois,3150 N HARLEM,
22DT001152,4357 S CHAMPLAIN,Chicago,Illinois,4357 S CHAMPLAIN,
22DT000620,1921 N HUDSON,Chicago,Illinois,1921 N HUDSON,
19DS72505L,6419 N GLENWOOD AVE,Chicago,Illinois,6419 N GLENWOOD AVE,
21DT001373,2717 W ARMITAGE,Chicago,Illinois,2717 W ARMITAGE,
21DS20252M,3235 N CALIFORNIA AVE,Chicago,Illinois,3235 N CALIFORNIA AVE,
20DS75523L,2042 W 47TH ST,Chicago,Illinois,2042 W 47TH ST,
20DS76032L,4504 S WOODLAWN AVE,Chicago,Illinois,4504 S WOODLAWN AVE,
20DT000522,1929 S MICHIGAN,Chicago,Illinois,1929 S MICHIGAN,
20DS75603L,5956 W HIGGINS AVE,Chicago,Illinois,5956 W HIGGINS AVE,
22DT000715,920 N HOYNE,Chicago,Illinois,920 N HOYNE,
21DT002832,6848 W ARCHER,Chicago,Illinois,6848 W ARCHER,
22DT001380,345 W 26TH ST,Chicago,Illinois,345 W 26TH ST,
21DT000488,636 S FINANCIAL PL,Chicago,Illinois,636 S FINANCIAL PL,
21DT001048,650 S FINANCIAL PL,Chicago,Illinois,650 S FINANCIAL PL,
21DT000613,2515 S STEWART,Chicago,Illinois,2515 S STEWART,
21DT000537,562 E OAKWOOD,Chicago,Illinois,562 E OAKWOOD,
21DT000688,1001 N CICERO,Chicago,Illinois,1001 N CICERO,
22DS04094M,1920 S LAFLIN ST,Chicago,Illinois,1920 S LAFLIN ST,
22DS03741M,2053 W 53RD ST,Chicago,Illinois,2053 W 53RD ST,
19DS72311L,2502 W 47TH ST,Chicago,Illinois,2502 W 47TH ST,
20DS74580L,2101 W HOWARD ST,Chicago,Illinois,2101 W HOWARD ST,
22DS04086M,1721 S PAULINA ST,Chicago,Illinois,1721 S PAULINA ST,
22DS04082M,6419 S MAY ST,Chicago,Illinois,6419 S MAY ST,
22DS04080M,932 W 59TH ST,Chicago,Illinois,932 W 59TH ST,
21DT000631,1100 W RANDOLPH ST,Chicago,Illinois,1100 W RANDOLPH ST,
21DT000503,1133 N WINCHESTER,Chicago,Illinois,1133 N WINCHESTER,
21DT001070,114 N ABERDEEN ST,Chicago,Illinois,114 N ABERDEEN ST,
22DS02245M,119 E 71ST ST,Chicago,Illinois,119 E 71ST ST,
21DT001089,314 W SCHILLER ST,Chicago,Illinois,314 W SCHILLER ST,
23DT000449,1465 W THOMAS ST,Chicago,Illinois,1465 W THOMAS ST,
21DT001657,1629 W GRAND,Chicago,Illinois,1629 W GRAND AVE,True
21DT000879,1730 N MILWAUKEE,Chicago,Illinois,1730 N MILWAUKEE,
22DT000957,1951 W DICKENS,Chicago,Illinois,1951 W DICKENS,
22DT000657,2150 N CICERO,Chicago,Illinois,2150 N CICERO,
21DT001953,416 S KOSTNER,Chicago,Illinois,416 S KOSTNER,
19DS72178L,2607 W 47TH ST,Chicago,Illinois,2607 W 47TH ST,
21DT000507,3145 S CANAL ST,Chicago,Illinois,3145 S CANAL ST,
21DT000876,3201 W ADDISON,Chicago,Illinois,3201 W ADDISON,
21DT001493,3311 W WASHINGTON,Chicago,Illinois,3311 W WASHINGTON,
21DT001494,3311 W WASHINGTON,Chicago,Illinois,3311 W WASHINGTON,
21DT001638,3311 W WASHINGTON,Chicago,Illinois,3311 W WASHINGTON,
21DT000610,500 W 36TH ST,Chicago,Illinois,500 W 36TH ST,
