community_name,2020_pop,vac_hu,hu_tot,vacant,vacperc,community_caps,n_BAFCONP,n_POLICE,n_STRTSAN,n_TRANPORT,n_dockets,n_311_complaints,dp10k,streets_p10k,cdot_p10k,police_p10k,n_p10k,311_p10k,complaint_ratio
Loop,42298,3598.0,24565.0,30.45673032,0.02874312,LOOP,0,0,2,29,31.0,177,1.832237930871436,0.1182088987658991,1.714029032105537,0.0,0.0,10.46148754078207,0.1638418079096045
Uptown,57182,2599.0,33569.0,8.232941932,0.005535161,UPTOWN,0,0,3,9,12.0,1055,0.5246406211744955,0.13116015529362388,0.3934804658808716,0.0,0.0,46.12465461159106,0.008530805687203791
Washington Heights,25065,1262.0,10593.0,50.06988036,0.027387749,WASHINGTON HEIGHTS,0,0,1,4,5.0,64,0.4987033712347895,0.09974067424695791,0.39896269698783166,0.0,0.0,6.3834031518053065,0.0625
Washington Park,12707,1036.0,5731.0,168.3493184,0.173061707,WASHINGTON PARK,0,0,0,10,10.0,64,1.967419532541119,0.0,1.967419532541119,0.0,0.0,12.591485008263161,0.15625
West Elsdon,18394,352.0,5753.0,13.67144402,0.018205693,WEST ELSDON,0,0,0,4,4.0,47,0.5436555398499511,0.0,0.5436555398499511,0.0,0.0,6.387952593236925,0.0851063829787234
West Englewood,29647,3131.0,12580.0,286.0734011,0.141690556,WEST ENGLEWOOD,0,6,60,9,75.0,60,6.324417310351806,5.059533848281445,0.7589300772422167,0.5059533848281444,0.0,5.059533848281445,0.15
West Garfield Park,17433,1937.0,7410.0,123.065501,0.148526187,WEST GARFIELD PARK,0,0,2,6,8.0,56,1.1472494693971205,0.2868123673492801,0.8604371020478403,0.0,0.0,8.030746285779843,0.10714285714285714
West Lawn,33662,525.0,9701.0,46.39418389,0.024551093,WEST LAWN,0,0,2,15,17.0,146,1.2625512447269918,0.1485354405561167,1.1140158041708752,0.0,0.0,10.843087160596518,0.10273972602739725
West Pullman,26104,2147.0,11210.0,221.0714522,0.096913937,WEST PULLMAN,0,1,1,3,5.0,23,0.47885381550720196,0.09577076310144039,0.2873122893043212,0.09577076310144039,0.0,2.202727551333129,0.13043478260869565
West Ridge,77122,2185.0,28054.0,11.76584462,0.005206999,WEST RIDGE,0,0,7,17,24.0,804,0.7779881227146599,0.22691320245844246,0.5510749202562174,0.0,0.0,26.062602110941107,0.021144278606965175
West Town,87781,3177.0,41891.0,62.40790574,0.021310963,WEST TOWN,0,0,1,96,97.0,1609,2.7625568175345463,0.028479967191077794,2.7340768503434685,0.0,0.0,45.82426721044418,0.05966438781852082
Woodlawn,24425,2436.0,11960.0,122.7721014,0.092636296,WOODLAWN,2,2,0,0,4.0,120,0.4094165813715456,0.0,0.0,0.2047082906857728,0.2047082906857728,12.282497441146367,0.0
