docket,violation_address,city,state,cleaned_address,corrected,result_num,osm_id,display_name,category,type,latlong,shape_area,shape_leng,ward
22CP001604,1049 W MARQUETTE RD,Chicago,Illinois,1049 W MARQUETTE RD,,"0","210118377","1049, West Marquette Road, Englewood, Chicago, Lake Township, Cook County, Illinois, 60620, United States",building,yes,"41.772214000000005,-87.65139034923386","103143638.546","97901.3238332","16"
22DS04164M,5730 S GREEN ST,Chicago,Illinois,5730 S GREEN ST,,"0","210130571","5730, South Green Street, Englewood, Chicago, Lake Township, Cook County, Illinois, 60621, United States",building,yes,"41.789683249999996,-87.64652324263244","103143638.546","97901.3238332","16"
22DS04176M,6301 S WESTERN AVE,Chicago,Illinois,6301 S WESTERN AVE,,"0","428476424","6301, South Western Avenue, Chicago Lawn, Chicago, Lake Township, Cook County, Illinois, 60636, United States",place,house,"41.778536,-87.683512","103143638.546","97901.3238332","16"
20DS78494L,5841 S OAKLEY AVE,Chicago,Illinois,5841 S OAKLEY AVE,,"0","24102559","5841, South Oakley Avenue, Gage Park, Chicago, Lake Township, Cook County, Illinois, 60636, United States",place,house,"41.787782334869355,-87.68101574886897","103143638.546","97901.3238332","16"
21CP001043,6001 S KEDZIE,Chicago,Illinois,6001 S KEDZIE,,"0","165133683","6001-6005, South Kedzie Avenue, Chicago Lawn, Chicago, Lake Township, Cook County, Illinois, 60629, United States",building,yes,"41.78426905,-87.70305297993318","103143638.546","97901.3238332","16"
22DS04301M,6426 S SANGAMON ST,Chicago,Illinois,6426 S SANGAMON ST,,"0","210132780","6426, South Sangamon Street, Englewood, Chicago, Lake Township, Cook County, Illinois, 60621, United States",building,yes,"41.77708255,-87.64864536568793","103143638.546","97901.3238332","16"
22CP000767,1456 W 61ST ST,Chicago,Illinois,1456 W 61ST ST,,"0","210129981","1456, West 61st Street, West Englewood, Chicago, Lake Township, Cook County, Illinois, 60636, United States",building,yes,"41.78333405,-87.6617112250623","103143638.546","97901.3238332","16"
22CP001430,6345 S ABERDEEN,Chicago,Illinois,6345 S ABERDEEN,,"0","210132579","6345, South Aberdeen Street, Englewood, Chicago, Lake Township, Cook County, Illinois, 60620, United States",building,yes,"41.77831275,-87.65176834754098","103143638.546","97901.3238332","16"
23DS12223M,2413 W 59TH ST,Chicago,Illinois,2413 W 59TH ST,,"0","209672800","2413, West 59th Street, Marquette Manor, Chicago Lawn, Chicago, Lake Township, Cook County, Illinois, 60629, United States",building,yes,"41.7863531,-87.68452177339168","103143638.546","97901.3238332","16"
22DS04211M,5742 S CARPENTER ST,Chicago,Illinois,5742 S CARPENTER ST,,"0","24079411","5742, South Carpenter Street, Englewood, Chicago, Lake Township, Cook County, Illinois, 60621, United States",place,house,"41.789780438122094,-87.65122829498561","103143638.546","97901.3238332","16"
22DS04165M,2000 W 69TH ST,Chicago,Illinois,2000 W 69TH ST,,"0","439971998","2000, West 69th Street, West Englewood, Chicago, Lake Township, Cook County, Illinois, 60636, United States",place,house,"41.768521,-87.673792","103143638.546","97901.3238332","16"
20CP012141,6704 S WOOD ST,Chicago,Illinois,6704 S WOOD ST,,"0","194969715","6704, South Wood Street, Drexel Estate, West Englewood, Chicago, Lake Township, Cook County, Illinois, 60636, United States",place,house,"41.771936333333336,-87.66898533333332","103143638.546","97901.3238332","16"
22DS04192M,6238 S DAMEN AVE,Chicago,Illinois,6238 S DAMEN AVE,,"0","140579043","6238, South Damen Avenue, South Lynn, West Englewood, Chicago, Lake Township, Cook County, Illinois, 60636, United States",place,house,"41.78060061208737,-87.6740445973918","103143638.546","97901.3238332","16"
21DS20599M,6105 S RICHMOND ST,Chicago,Illinois,6105 S RICHMOND ST,,"0","24082640","6105, South Richmond Street, Chicago Lawn, Chicago, Lake Township, Cook County, Illinois, 60629, United States",place,house,"41.78251775564723,-87.69703413398145","103143638.546","97901.3238332","16"
22DS04583M,1244 W 57TH ST,Chicago,Illinois,1244 W 57TH ST,,"0","210129846","1244, West 57th Street, West Englewood, Chicago, Lake Township, Cook County, Illinois, 60636, United States",building,yes,"41.790633549999995,-87.65646060154192","103143638.546","97901.3238332","16"
21DS20741M,932 W 59TH ST,Chicago,Illinois,932 W 59TH ST,,"0","31445932","932, West 59th Street, Englewood, Chicago, Lake Township, Cook County, Illinois, 60621, United States",place,house,"41.787053327869295,-87.648810877032","103143638.546","97901.3238332","16"
22DS04284M,932 W 59TH ST,Chicago,Illinois,932 W 59TH ST,,"0","31445932","932, West 59th Street, Englewood, Chicago, Lake Township, Cook County, Illinois, 60621, United States",place,house,"41.787053327869295,-87.648810877032","103143638.546","97901.3238332","16"
22DS04150M,5801 S PEORIA ST,Chicago,Illinois,5801 S PEORIA ST,,"0","210130826","5801, South Peoria Street, Englewood, Chicago, Lake Township, Cook County, Illinois, 60621, United States",building,yes,"41.7886938,-87.64717524715746","103143638.546","97901.3238332","16"
22DS04210M,5621 S CARPENTER ST,Chicago,Illinois,5621 S CARPENTER ST,,"0","210161804","5621, South Carpenter Street, Englewood, Chicago, Lake Township, Cook County, Illinois, 60621, United States",building,yes,"41.7917425,-87.65088083589805","103143638.546","97901.3238332","16"
22DS03749M,1620 W 59TH ST,Chicago,Illinois,1620 W 59TH ST,,"0","209672534","1620, West 59th Street, West Englewood, Chicago, Lake Township, Cook County, Illinois, 60636, United States",building,retail,"41.78705305,-87.66550370088274","103143638.546","97901.3238332","16"
22DS03862M,1620 W 59TH ST,Chicago,Illinois,1620 W 59TH ST,,"0","209672534","1620, West 59th Street, West Englewood, Chicago, Lake Township, Cook County, Illinois, 60636, United States",building,retail,"41.78705305,-87.66550370088274","103143638.546","97901.3238332","16"
22DS04216M,5738 S CARPENTER ST,Chicago,Illinois,5738 S CARPENTER ST,,"0","210130636","5738, South Carpenter Street, Englewood, Chicago, Lake Township, Cook County, Illinois, 60621, United States",building,yes,"41.78941865,-87.6513838422396","103143638.546","97901.3238332","16"
22DS04179M,6128 S WESTERN AVE,Chicago,Illinois,6128 S WESTERN AVE,,"0","428476421","6128, South Western Avenue, Chicago Lawn, Chicago, Lake Township, Cook County, Illinois, 60636, United States",place,house,"41.78232628868012,-87.6838353204496","103143638.546","97901.3238332","16"
22DS03396M,2101 W 63RD ST,Chicago,Illinois,2101 W 63RD ST,,"0","428610771","2101, West 63rd Street, South Lynn, West Englewood, Chicago, Lake Township, Cook County, Illinois, 60636, United States",place,house,"41.779197,-87.676501","103143638.546","97901.3238332","16"
20DS75909L,2057 W GARFIELD BLVD,Chicago,Illinois,2057 W GARFIELD BLVD,,"0","435652384","2057, West Garfield Boulevard, New City, Chicago, Lake Township, Cook County, Illinois, 60609, United States",place,house,"41.793978608086746,-87.67620174497404","103143638.546","97901.3238332","16"
21DS47172M,6215 S MORGAN ST,Chicago,Illinois,6215 S MORGAN ST,,"0","210132236","6215, South Morgan Street, Englewood, Chicago, Lake Township, Cook County, Illinois, 60620, United States",building,yes,"41.7809709,-87.64939929662184","103143638.546","97901.3238332","16"
21DT00030A,5101 S ASHLAND AVE,Chicago,Illinois,5101 S ASHLAND AVE,,"0","209703708","5101-5105, South Ashland Avenue, New City, Chicago, Lake Township, Cook County, Illinois, 60636, United States",building,yes,"41.80103685,-87.6642638049602","103143638.546","97901.3238332","16"
22DS04279M,6124 S GREEN ST,Chicago,Illinois,6124 S GREEN ST,,"0","210131961","6124, South Green Street, Englewood, Chicago, Lake Township, Cook County, Illinois, 60621, United States",building,yes,"41.78258085,-87.6463659990678","103143638.546","97901.3238332","16"
22DS03391M,6300 S DAMEN AVE,Chicago,Illinois,6300 S DAMEN AVE,,"0","1123896935","6300, South Damen Avenue, South Lynn, West Englewood, Chicago, Lake Township, Cook County, Illinois, 60636, United States",place,house,"41.778682,-87.674002","103143638.546","97901.3238332","16"
22DS04239M,5734 S SANGAMON ST,Chicago,Illinois,5734 S SANGAMON ST,,"0","210130608","5734, South Sangamon Street, Englewood, Chicago, Lake Township, Cook County, Illinois, 60621, United States",building,yes,"41.78954125,-87.64892610157358","103143638.546","97901.3238332","16"
22DS04221M,6408 S SANGAMON ST,Chicago,Illinois,6408 S SANGAMON ST,,"0","210132680","6408, South Sangamon Street, Englewood, Chicago, Lake Township, Cook County, Illinois, 60621, United States",building,yes,"41.77754855,-87.64867168625437","103143638.546","97901.3238332","16"
22DS04401M,6149 S LOOMIS BLVD,Chicago,Illinois,6149 S LOOMIS BLVD,,"0","210132132","6149, South Loomis Boulevard, West Englewood, Chicago, Lake Township, Cook County, Illinois, 60636, United States",building,yes,"41.7817271,-87.6591619312538","103143638.546","97901.3238332","16"
22DS04156M,5722 S SANGAMON ST,Chicago,Illinois,5722 S SANGAMON ST,,"0","210130508","5722, South Sangamon Street, Englewood, Chicago, Lake Township, Cook County, Illinois, 60621, United States",building,yes,"41.78992985,-87.6489825865257","103143638.546","97901.3238332","16"
20DS75953L,2111 W GARFIELD BLVD,Chicago,Illinois,2111 W GARFIELD BLVD,,"0","435652384","2111, West Garfield Boulevard, New City, Chicago, Lake Township, Cook County, Illinois, 60609, United States",place,house,"41.79396765363164,-87.67709831281992","103143638.546","97901.3238332","16"
21DS20811M,6701 S RACINE AVE,Chicago,Illinois,6701 S RACINE AVE,,"0","210120106","6701, South Racine Avenue, Englewood, Chicago, Lake Township, Cook County, Illinois, 60636, United States",building,yes,"41.77215175,-87.65404249008475","103143638.546","97901.3238332","16"
22DS04202M,2435 W 64TH ST,Chicago,Illinois,2435 W 64TH ST,,"0","165130638","2435-2437, West 64th Street, Chicago Lawn, Chicago, Lake Township, Cook County, Illinois, 60629, United States",building,yes,"41.77729225,-87.68514370037326","103143638.546","97901.3238332","16"
22DS04289M,6337 S ADA ST,Chicago,Illinois,6337 S ADA ST,,"0","210132523","6337, South Ada Street, West Englewood, Chicago, Lake Township, Cook County, Illinois, 60636, United States",building,yes,"41.7784645,-87.65778365966719","103143638.546","97901.3238332","16"
22DS04282M,6200 S DAMEN AVE,Chicago,Illinois,6200 S DAMEN AVE,,"0","140579043","6200, South Damen Avenue, South Lynn, West Englewood, Chicago, Lake Township, Cook County, Illinois, 60636, United States",place,house,"41.781038,-87.674057","103143638.546","97901.3238332","16"
22DS04157M,5710 S PEORIA ST,Chicago,Illinois,5710 S PEORIA ST,,"0","210130418","5710, South Peoria Street, Englewood, Chicago, Lake Township, Cook County, Illinois, 60621, United States",building,yes,"41.79021015,-87.64779308792544","103143638.546","97901.3238332","16"
22DS04229M,5722 S PEORIA ST,Chicago,Illinois,5722 S PEORIA ST,,"0","210130506","5722, South Peoria Street, Englewood, Chicago, Lake Township, Cook County, Illinois, 60621, United States",building,yes,"41.789902749999996,-87.6477708494186","103143638.546","97901.3238332","16"
21DT00029A,810 W 59TH ST,Chicago,Illinois,810 W 59TH ST,,"0","210133269","Citgo, 810-814, West 59th Street, Englewood, Chicago, Lake Township, Cook County, Illinois, 60621, United States",shop,convenience,"41.787263949999996,-87.64562441835085","103143638.546","97901.3238332","16"
22DS04123M,6359 S ARTESIAN AVE,Chicago,Illinois,6359 S ARTESIAN AVE,,"0","209675402","6359, South Artesian Avenue, Chicago Lawn, Chicago, Lake Township, Cook County, Illinois, 60629, United States",building,yes,"41.777552099999994,-87.68451134508626","103143638.546","97901.3238332","16"
23DS13151M,2422 W 64 ST,Chicago,Illinois,2422 W 64TH ST,True,"0","24078215","2422, West 64th Street, Chicago Lawn, Chicago, Lake Township, Cook County, Illinois, 60629, United States",place,house,"41.77750848889021,-87.68458793328168","103143638.546","97901.3238332","16"
22CP001431,6350 S ABERDEEN,Chicago,Illinois,6350 S ABERDEEN,,"0","210132605","6350, South Aberdeen Street, Englewood, Chicago, Lake Township, Cook County, Illinois, 60620, United States",building,yes,"41.778169000000005,-87.65230687533901","103143638.546","97901.3238332","16"
